serialnumber,hostname,ReconciliationRuleId,sn_version,sn_variant,hn_version,hn_variant
8e26e970-145b-4b38-8b70-379e36f84967,8e26e970-145b-4b38-8b70-379e36f84967,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
13a2c6b6-36ed-4002-b55b-8a1d7869363f,13a2c6b6-36ed-4002-b55b-8a1d7869363f,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
54559b2f-cb34-4046-85f6-7773eb12af8c,54559b2f-cb34-4046-85f6-7773eb12af8c,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
618bc4d5-6162-4eaf-98f3-ad265811289b,618bc4d5-6162-4eaf-98f3-ad265811289b,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
2429ad85-5f8d-4453-8f1c-e43889e13b72,2429ad85-5f8d-4453-8f1c-e43889e13b72,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
77eef30f-702f-42ba-b096-3b8b79d9f266,77eef30f-702f-42ba-b096-3b8b79d9f266,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
,fd7461ba-3daf-44e5-a1b8-b8c71097ade4,130,,,4.0,specified in RFC 4122
f5ef3cfb-b8f6-4016-8cc5-31b8cac95de2,f5ef3cfb-b8f6-4016-8cc5-31b8cac95de2,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
bba243bd-ad24-481e-b1c1-a709bd17b168,bba243bd-ad24-481e-b1c1-a709bd17b168,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
36142b27-ce78-4ce0-baf2-435976a6249a,36142b27-ce78-4ce0-baf2-435976a6249a,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
66a5a320-66d4-45d7-aab9-c43763fb1f43,66a5a320-66d4-45d7-aab9-c43763fb1f43,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
078e8f2b-bd2b-4c04-839a-fc6a9c938d5d,078e8f2b-bd2b-4c04-839a-fc6a9c938d5d,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
08b7be6b-dffa-4734-96f7-0b638ce9b862,08b7be6b-dffa-4734-96f7-0b638ce9b862,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
c90b5d84-4026-43b0-8a2f-4227d0d89b84,c90b5d84-4026-43b0-8a2f-4227d0d89b84,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
76b3d94c-059b-4104-95d0-cba6b38fd363,76b3d94c-059b-4104-95d0-cba6b38fd363,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
764f1b4a-6e44-437e-b17f-105824a5af21,764f1b4a-6e44-437e-b17f-105824a5af21,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
e1cfa4a1-eeb8-400b-9ad1-4a05d3f90b8b,e1cfa4a1-eeb8-400b-9ad1-4a05d3f90b8b,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
a9a72623-7e3a-492f-87dc-df318ed84280,a9a72623-7e3a-492f-87dc-df318ed84280,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
8cd3753c-9895-4a8c-9b1e-b76c0a177134,8cd3753c-9895-4a8c-9b1e-b76c0a177134,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
ae8903cc-7a37-4148-9e24-b6535b09bbbd,ae8903cc-7a37-4148-9e24-b6535b09bbbd,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
73dfbe6f-7408-4863-a169-c24dcc56e22e,73dfbe6f-7408-4863-a169-c24dcc56e22e,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
c4578546-3904-4823-b404-f85f1dab1bf4,c4578546-3904-4823-b404-f85f1dab1bf4,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
0516418a-40ed-4ed5-bc8c-b222249a3024,0516418a-40ed-4ed5-bc8c-b222249a3024,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
3a264d13-3ad9-485c-901e-f5446f443052,3a264d13-3ad9-485c-901e-f5446f443052,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
4c781928-0626-44f2-a789-7bee919b3ee4,4c781928-0626-44f2-a789-7bee919b3ee4,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
c5fc562a-9620-4823-869a-37dda56d0396,c5fc562a-9620-4823-869a-37dda56d0396,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
71810a77-6421-4caf-806f-ef0ffdbc28f9,71810a77-6421-4caf-806f-ef0ffdbc28f9,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
6b8d9881-09ae-485e-9976-a1c7b3b90e60,6b8d9881-09ae-485e-9976-a1c7b3b90e60,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
d73935b2-3858-4f24-b9de-386122a4667d,d73935b2-3858-4f24-b9de-386122a4667d,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
46017f4b-b9fd-4c6c-bddc-dc10aa479a94,46017f4b-b9fd-4c6c-bddc-dc10aa479a94,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
6d8e3d1b-cf13-4721-a95b-352a7c907966,6d8e3d1b-cf13-4721-a95b-352a7c907966,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
1a262849-f9c1-415d-a9bf-fd11fcdaa652,1a262849-f9c1-415d-a9bf-fd11fcdaa652,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
6ede2813-e6f7-41e2-af01-dd1590a87ca9,6ede2813-e6f7-41e2-af01-dd1590a87ca9,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
26bbf91b-04f3-4c1c-8ef2-6d04f57af2b0,26bbf91b-04f3-4c1c-8ef2-6d04f57af2b0,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
25f39840-fd65-4586-974c-e4de59b31f1d,25f39840-fd65-4586-974c-e4de59b31f1d,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
ce34e012-51eb-4cc4-8467-ce4da925a690,ce34e012-51eb-4cc4-8467-ce4da925a690,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
218d6116-d13d-434f-ab5a-46f03c704c0b,218d6116-d13d-434f-ab5a-46f03c704c0b,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
06a6281e-d84d-4bf6-aca6-7e6586fc1c94,06a6281e-d84d-4bf6-aca6-7e6586fc1c94,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
71f83a1e-8f5f-41b2-9fe3-a5c8ebf6e1d4,71f83a1e-8f5f-41b2-9fe3-a5c8ebf6e1d4,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
95945cc9-8e2d-4fd5-bbec-edfb34fb5991,95945cc9-8e2d-4fd5-bbec-edfb34fb5991,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
2e756dc9-8716-4352-ae45-dcfb5f9d54c1,2e756dc9-8716-4352-ae45-dcfb5f9d54c1,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
978fb58d-37db-4abc-bf5b-445c6c48fb28,978fb58d-37db-4abc-bf5b-445c6c48fb28,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
acd40062-3958-4d48-8291-38786fd85a62,acd40062-3958-4d48-8291-38786fd85a62,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
0c293b02-c44e-49b3-884b-29ff7ed8bdf9,0c293b02-c44e-49b3-884b-29ff7ed8bdf9,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
833d2a85-5133-4d35-913e-889178d76a2b,833d2a85-5133-4d35-913e-889178d76a2b,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
c1e2c78a-80ef-4b9a-82c8-dca5586381fb,c1e2c78a-80ef-4b9a-82c8-dca5586381fb,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
62fe93e2-374d-4a34-8c04-2b2023075037,62fe93e2-374d-4a34-8c04-2b2023075037,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
8b9a9cfe-7390-40ee-a871-6ffdc82ae00b,8b9a9cfe-7390-40ee-a871-6ffdc82ae00b,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
c81018c6-ea43-42db-a5ad-de4490fe989e,c81018c6-ea43-42db-a5ad-de4490fe989e,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
8137d6a0-9750-4d28-97c1-c1bec277879f,8137d6a0-9750-4d28-97c1-c1bec277879f,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
ac18c434-92d2-408e-ae7d-f1490a44a41b,ac18c434-92d2-408e-ae7d-f1490a44a41b,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
fbd9d700-0d71-41a1-9048-fc564a817bac,fbd9d700-0d71-41a1-9048-fc564a817bac,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
9630e929-3f2a-4bd5-831b-8ba0ef8f2920,9630e929-3f2a-4bd5-831b-8ba0ef8f2920,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
055eb9b1-537c-4bb3-b6f3-8c90ba1f384a,055eb9b1-537c-4bb3-b6f3-8c90ba1f384a,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
e7728c64-f963-4d30-9969-9cff6a032579,e7728c64-f963-4d30-9969-9cff6a032579,110,4.0,specified in RFC 4122,4.0,specified in RFC 4122
